"
",Date,"
",Price,"
",Open,"
",High,"
",Low,"
",Vol., ,Change %,"
"
"
","Feb 10, 2021","
",635.50,"
",649.50,"
",650.50,"
",626.75,"
",98.58K, ,-2.16%,"
"
"
","Feb 09, 2021","
",649.50,"
",657.75,"
",660.50,"
",639.75,"
",124.15K, ,-0.95%,"
"
"
","Feb 08, 2021","
",655.75,"
",643.00,"
",657.50,"
",642.50,"
",102.71K, ,2.26%,"
"
"
","Feb 05, 2021","
",641.25,"
",634.75,"
",647.50,"
",632.25,"
",78.45K, ,0.59%,"
"
"
","Feb 04, 2021","
",637.50,"
",647.25,"
",650.50,"
",633.00,"
",66.02K, ,-1.66%,"
"
"
","Feb 03, 2021","
",648.25,"
",646.25,"
",649.75,"
",625.75,"
",77.13K, ,0.54%,"
"
"
","Feb 02, 2021","
",644.75,"
",655.00,"
",656.75,"
",640.50,"
",46.87K, ,-0.96%,"
"
"
","Feb 01, 2021","
",651.00,"
",663.50,"
",671.00,"
",646.00,"
",55.80K, ,-1.81%,"
"
"
","Jan 29, 2021","
",663.00,"
",646.25,"
",664.75,"
",643.00,"
",60.15K, ,2.47%,"
"
"
","Jan 28, 2021","
",647.00,"
",655.00,"
",664.50,"
",643.50,"
",65.43K, ,-1.71%,"
"
"
","Jan 27, 2021","
",658.25,"
",663.25,"
",672.75,"
",652.50,"
",54.19K, ,-1.05%,"
"
"
","Jan 26, 2021","
",665.25,"
",646.75,"
",667.75,"
",641.25,"
",68.36K, ,2.58%,"
"
"
","Jan 25, 2021","
",648.50,"
",633.00,"
",651.50,"
",624.25,"
",64.72K, ,2.21%,"
"
"
","Jan 22, 2021","
",634.50,"
",658.50,"
",659.00,"
",633.00,"
",76.81K, ,-3.97%,"
"
"
","Jan 21, 2021","
",660.75,"
",666.50,"
",674.75,"
",657.75,"
",50.21K, ,-1.05%,"
"
"
","Jan 20, 2021","
",667.75,"
",675.25,"
",676.00,"
",656.50,"
",66.03K, ,-0.67%,"
"
"
","Jan 19, 2021","
",672.25,"
",683.75,"
",691.25,"
",668.75,"
",63.50K, ,-0.48%,"
"
"
","Jan 15, 2021","
",675.50,"
",671.00,"
",693.00,"
",664.50,"
",77.45K, ,0.82%,"
"
"
","Jan 14, 2021","
",670.00,"
",660.00,"
",673.25,"
",653.00,"
",63.30K, ,1.44%,"
"
"
","Jan 13, 2021","
",660.50,"
",665.00,"
",680.75,"
",656.25,"
",80.72K, ,-0.68%,"
"
"
","Jan 12, 2021","
",665.00,"
",636.25,"
",670.00,"
",634.00,"
",80.42K, ,4.77%,"
"
"
","Jan 11, 2021","
",634.75,"
",639.00,"
",651.50,"
",628.75,"
",58.07K, ,-0.63%,"
"
"
","Jan 08, 2021","
",638.75,"
",644.75,"
",649.50,"
",634.00,"
",56.14K, ,-0.54%,"
"
"
","Jan 07, 2021","
",642.25,"
",646.75,"
",648.25,"
",638.00,"
",47.49K, ,-0.81%,"
"
"
","Jan 06, 2021","
",647.50,"
",654.00,"
",660.25,"
",646.00,"
",60.85K, ,-0.99%,"
"
"
","Jan 05, 2021","
",654.00,"
",641.50,"
",664.50,"
",639.50,"
",81.17K, ,1.87%,"
"
"
","Jan 04, 2021","
",642.00,"
",643.00,"
",650.25,"
",634.00,"
",66.78K, ,0.04%,"
"
"
","Jan 01, 2021","
",641.75,"
",641.75,"
",641.75,"
",641.75,"
",-, ,0.20%,"
"
"
","Dec 31, 2020","
",640.50,"
",640.00,"
",644.50,"
",632.50,"
",44.93K, ,-0.04%,"
"
"
","Dec 30, 2020","
",640.75,"
",620.00,"
",643.50,"
",614.00,"
",71.65K, ,3.60%,"
"
"
","Dec 29, 2020","
",618.50,"
",614.25,"
",623.25,"
",611.50,"
",35.42K, ,0.69%,"
"
"
","Dec 28, 2020","
",614.25,"
",627.00,"
",631.50,"
",607.00,"
",53.53K, ,-2.05%,"
"
"
","Dec 25, 2020","
",627.10,"
",627.10,"
",627.10,"
",627.10,"
",-, ,0.02%,"
"
"
","Dec 24, 2020","
",627.00,"
",631.00,"
",633.75,"
",623.50,"
",35.66K, ,-0.44%,"
"
"
","Dec 23, 2020","
",629.75,"
",615.25,"
",633.75,"
",610.50,"
",69.51K, ,2.07%,"
"
"
","Dec 22, 2020","
",617.00,"
",615.50,"
",619.75,"
",603.00,"
",55.03K, ,0.94%,"
"
"
","Dec 21, 2020","
",611.25,"
",610.25,"
",615.25,"
",596.50,"
",48.42K, ,0.49%,"
"
"
","Dec 18, 2020","
",608.25,"
",611.50,"
",614.75,"
",604.50,"
",42.17K, ,-0.08%,"
"
"
","Dec 17, 2020","
",608.75,"
",599.75,"
",610.00,"
",598.50,"
",43.43K, ,1.71%,"
"
"
","Dec 16, 2020","
",598.50,"
",602.25,"
",607.75,"
",589.75,"
",56.48K, ,-0.21%,"
"
"
","Dec 15, 2020","
",599.75,"
",597.25,"
",605.75,"
",594.25,"
",51.42K, ,1.05%,"
"
"
","Dec 14, 2020","
",593.50,"
",615.50,"
",615.50,"
",615.50,"
",0.02K, ,-2.42%,"
"
"
","Dec 11, 2020","
",608.25,"
",598.12,"
",619.12,"
",590.25,"
",0.01K, ,3.05%,"
"
"
","Dec 10, 2020","
",590.25,"
",590.00,"
",592.50,"
",587.00,"
",0.01K, ,2.30%,"
"
"
","Dec 09, 2020","
",577.00,"
",568.50,"
",581.00,"
",568.50,"
",0.01K, ,2.35%,"
"
"
","Dec 08, 2020","
",563.75,"
",566.75,"
",574.00,"
",566.75,"
",0.02K, ,-1.31%,"
"
"
","Dec 07, 2020","
",571.25,"
",560.00,"
",575.75,"
",560.00,"
",0.02K, ,0.84%,"
"
"
","Dec 04, 2020","
",566.50,"
",563.75,"
",564.75,"
",563.75,"
",0.06K, ,-0.92%,"
"
"
","Dec 03, 2020","
",571.75,"
",573.50,"
",576.00,"
",568.00,"
",0.16K, ,-1.08%,"
"
"
","Dec 02, 2020","
",578.00,"
",565.50,"
",578.75,"
",565.50,"
",0.08K, ,2.21%,"
"
"
","Dec 01, 2020","
",565.50,"
",580.75,"
",580.75,"
",563.50,"
",0.54K, ,-2.54%,"
"
"
","Nov 30, 2020","
",580.25,"
",599.50,"
",600.00,"
",579.50,"
",1.05K, ,-2.72%,"
"
"
","Nov 27, 2020","
",596.50,"
",592.25,"
",600.25,"
",589.25,"
",7.30K, ,1.47%,"
"
"
","Nov 26, 2020","
",587.88,"
",587.75,"
",587.88,"
",587.62,"
",-, ,-0.06%,"
"
"
","Nov 25, 2020","
",588.25,"
",612.75,"
",616.50,"
",587.00,"
",23.90K, ,-3.76%,"
"
"
","Nov 24, 2020","
",611.25,"
",599.50,"
",612.25,"
",594.00,"
",19.74K, ,2.09%,"
"
"
","Nov 23, 2020","
",598.75,"
",596.00,"
",604.75,"
",595.75,"
",22.14K, ,0.93%,"
"
"
","Nov 20, 2020","
",593.25,"
",590.00,"
",598.25,"
",590.00,"
",36.85K, ,0.25%,"
"
"
","Nov 19, 2020","
",591.75,"
",598.75,"
",600.25,"
",589.75,"
",42.21K, ,-1.00%,"
"
"
","Nov 18, 2020","
",597.75,"
",595.75,"
",604.25,"
",592.50,"
",61.56K, ,0.42%,"
"
"
","Nov 17, 2020","
",595.25,"
",598.00,"
",603.25,"
",592.50,"
",73.20K, ,-0.46%,"
"
"
","Nov 16, 2020","
",598.00,"
",593.75,"
",601.00,"
",586.00,"
",87.08K, ,0.76%,"
"
"
","Nov 13, 2020","
",593.50,"
",586.25,"
",596.25,"
",580.25,"
",77.40K, ,0.89%,"
"
"
","Nov 12, 2020","
",588.25,"
",596.25,"
",598.75,"
",587.00,"
",91.05K, ,-1.63%,"
"
"
","Nov 11, 2020","
",598.00,"
",607.00,"
",613.50,"
",595.50,"
",107.81K, ,-1.73%,"
"
"
","Nov 10, 2020","
",608.50,"
",597.25,"
",613.00,"
",594.00,"
",134.34K, ,1.84%,"
"
"
","Nov 09, 2020","
",597.50,"
",602.25,"
",607.00,"
",595.00,"
",91.44K, ,-0.75%,"
"
"
","Nov 06, 2020","
",602.00,"
",607.75,"
",615.75,"
",601.75,"
",105.36K, ,-1.19%,"
"
"
","Nov 05, 2020","
",609.25,"
",606.50,"
",626.25,"
",606.00,"
",97.07K, ,0.54%,"
"
"
","Nov 04, 2020","
",606.00,"
",607.75,"
",610.50,"
",597.75,"
",66.08K, ,-0.33%,"
"
"
","Nov 03, 2020","
",608.00,"
",607.00,"
",616.50,"
",604.00,"
",70.89K, ,0.08%,"
"
"
","Nov 02, 2020","
",607.50,"
",593.25,"
",609.50,"
",591.00,"
",75.09K, ,1.50%,"
"
"
","Oct 30, 2020","
",598.50,"
",602.00,"
",607.25,"
",595.25,"
",72.81K, ,-0.87%,"
"
"
","Oct 29, 2020","
",603.75,"
",609.75,"
",611.25,"
",598.50,"
",69.89K, ,-0.82%,"
"
"
","Oct 28, 2020","
",608.75,"
",614.50,"
",614.50,"
",600.75,"
",72.24K, ,-1.14%,"
"
"
","Oct 27, 2020","
",615.75,"
",618.75,"
",627.00,"
",614.75,"
",63.49K, ,-0.69%,"
"
"
","Oct 26, 2020","
",620.00,"
",632.75,"
",633.00,"
",616.00,"
",66.90K, ,-2.02%,"
"
"
","Oct 23, 2020","
",632.75,"
",623.00,"
",635.50,"
",619.50,"
",64.24K, ,1.61%,"
"
"
","Oct 22, 2020","
",622.75,"
",628.50,"
",632.25,"
",621.25,"
",63.70K, ,-1.11%,"
"
"
","Oct 21, 2020","
",629.75,"
",634.50,"
",637.50,"
",628.75,"
",61.38K, ,-0.36%,"
"
